5.1,3.5,1.4,0.2,Iris-setosa,3.81
4.9,3.0,1.4,0.2,Iris-setosa,3.22
4.7,3.2,1.3,0.2,Iris-setosa,3.49
4.6,3.1,1.5,0.2,Iris-setosa,3.18
5.0,3.6,1.4,0.2,Iris-setosa,3.9
5.4,3.9,1.7,0.4,Iris-setosa,4.24
4.6,3.4,1.4,0.3,Iris-setosa,3.7
5.0,3.4,1.5,0.2,Iris-setosa,3.59
4.4,2.9,1.4,0.2,Iris-setosa,3.01
4.9,3.1,1.5,0.1,Iris-setosa,3.14
5.4,3.7,1.5,0.2,Iris-setosa,4.0
4.8,3.4,1.6,0.2,Iris-setosa,3.46
4.8,3.0,1.4,0.1,Iris-setosa,3.1
4.3,3.0,1.1,0.1,Iris-setosa,3.27
5.8,4.0,1.2,0.2,Iris-setosa,4.68
5.7,4.4,1.5,0.4,Iris-setosa,5.03
5.4,3.9,1.3,0.4,Iris-setosa,4.6
5.1,3.5,1.4,0.3,Iris-setosa,3.91
5.7,3.8,1.7,0.3,Iris-setosa,4.09
5.1,3.8,1.5,0.3,Iris-setosa,4.15
5.4,3.4,1.7,0.2,Iris-setosa,3.49
5.1,3.7,1.5,0.4,Iris-setosa,4.14
4.6,3.6,1.0,0.2,Iris-setosa,4.18
5.1,3.3,1.7,0.5,Iris-setosa,3.62
4.8,3.4,1.9,0.2,Iris-setosa,3.19
5.0,3.0,1.6,0.2,Iris-setosa,3.06
5.0,3.4,1.6,0.4,Iris-setosa,3.7
5.2,3.5,1.5,0.2,Iris-setosa,3.74
5.2,3.4,1.4,0.2,Iris-setosa,3.72
4.7,3.2,1.6,0.2,Iris-setosa,3.22
4.8,3.1,1.6,0.2,Iris-setosa,3.13
5.4,3.4,1.5,0.4,Iris-setosa,3.87
5.2,4.1,1.5,0.1,Iris-setosa,4.3
5.5,4.2,1.4,0.2,Iris-setosa,4.66
4.9,3.1,1.5,0.1,Iris-setosa,3.14
5.0,3.2,1.2,0.2,Iris-setosa,3.64
5.5,3.5,1.3,0.2,Iris-setosa,3.98
4.9,3.1,1.5,0.1,Iris-setosa,3.14
4.4,3.0,1.3,0.2,Iris-setosa,3.21
5.1,3.4,1.5,0.2,Iris-setosa,3.61
5.0,3.5,1.3,0.3,Iris-setosa,3.98
4.5,2.3,1.3,0.3,Iris-setosa,2.56
4.4,3.2,1.3,0.2,Iris-setosa,3.43
5.0,3.5,1.6,0.6,Iris-setosa,4.01
5.1,3.8,1.9,0.4,Iris-setosa,3.89
4.8,3.0,1.4,0.3,Iris-setosa,3.3
5.1,3.8,1.6,0.2,Iris-setosa,3.96
4.6,3.2,1.4,0.2,Iris-setosa,3.38
5.3,3.7,1.5,0.2,Iris-setosa,3.98
5.0,3.3,1.4,0.2,Iris-setosa,3.57
7.0,3.2,4.7,1.4,Iris-versicolor,2.09
6.4,3.2,4.5,1.5,Iris-versicolor,2.25
6.9,3.1,4.9,1.5,Iris-versicolor,1.88
5.5,2.3,4.0,1.3,Iris-versicolor,1.33
6.5,2.8,4.6,1.5,Iris-versicolor,1.74
5.7,2.8,4.5,1.3,Iris-versicolor,1.47
6.3,3.3,4.7,1.6,Iris-versicolor,2.26
4.9,2.4,3.3,1.0,Iris-versicolor,1.65
6.6,2.9,4.6,1.3,Iris-versicolor,1.67
5.2,2.7,3.9,1.4,Iris-versicolor,1.9
5.0,2.0,3.5,1.0,Iris-versicolor,1.05
5.9,3.0,4.2,1.5,Iris-versicolor,2.2
6.0,2.2,4.0,1.0,Iris-versicolor,1.02
6.1,2.9,4.7,1.4,Iris-versicolor,1.58
5.6,2.9,3.6,1.3,Iris-versicolor,2.37
6.7,3.1,4.4,1.4,Iris-versicolor,2.19
5.6,3.0,4.5,1.5,Iris-versicolor,1.87
5.8,2.7,4.1,1.0,Iris-versicolor,1.44
6.2,2.2,4.5,1.5,Iris-versicolor,1.11
5.6,2.5,3.9,1.1,Iris-versicolor,1.46
5.9,3.2,4.8,1.8,Iris-versicolor,2.18
6.1,2.8,4.0,1.3,Iris-versicolor,2.0
6.3,2.5,4.9,1.5,Iris-versicolor,1.1
6.1,2.8,4.7,1.2,Iris-versicolor,1.27
6.4,2.9,4.3,1.3,Iris-versicolor,1.9
6.6,3.0,4.4,1.4,Iris-versicolor,2.06
6.8,2.8,4.8,1.4,Iris-versicolor,1.52
6.7,3.0,5.0,1.7,Iris-versicolor,1.84
6.0,2.9,4.5,1.5,Iris-versicolor,1.84
5.7,2.6,3.5,1.0,Iris-versicolor,1.85
5.5,2.4,3.8,1.1,Iris-versicolor,1.42
5.5,2.4,3.7,1.0,Iris-versicolor,1.41
5.8,2.7,3.9,1.2,Iris-versicolor,1.82
6.0,2.7,5.1,1.6,Iris-versicolor,1.18
5.4,3.0,4.5,1.5,Iris-versicolor,1.83
6.0,3.4,4.5,1.6,Iris-versicolor,2.49
6.7,3.1,4.7,1.5,Iris-versicolor,2.02
6.3,2.3,4.4,1.3,Iris-versicolor,1.13
5.6,3.0,4.1,1.3,Iris-versicolor,2.03
5.5,2.5,4.0,1.3,Iris-versicolor,1.55
5.5,2.6,4.4,1.2,Iris-versicolor,1.2
6.1,3.0,4.6,1.4,Iris-versicolor,1.78
5.8,2.6,4.0,1.2,Iris-versicolor,1.62
5.0,2.3,3.3,1.0,Iris-versicolor,1.56
5.6,2.7,4.2,1.3,Iris-versicolor,1.61
5.7,3.0,4.2,1.2,Iris-versicolor,1.86
5.7,2.9,4.2,1.3,Iris-versicolor,1.85
6.2,2.9,4.3,1.3,Iris-versicolor,1.86
5.1,2.5,3.0,1.1,Iris-versicolor,2.17
5.7,2.8,4.1,1.3,Iris-versicolor,1.83
6.3,3.3,6.0,2.5,Iris-virginica,1.99
5.8,2.7,5.1,1.9,Iris-virginica,1.44
7.1,3.0,5.9,2.1,Iris-virginica,1.51
6.3,2.9,5.6,1.8,Iris-virginica,1.21
6.5,3.0,5.8,2.2,Iris-virginica,1.58
7.6,3.0,6.6,2.1,Iris-virginica,0.98
4.9,2.5,4.5,1.7,Iris-virginica,1.38
7.3,2.9,6.3,1.8,Iris-virginica,0.78
6.7,2.5,5.8,1.8,Iris-virginica,0.67
7.2,3.6,6.1,2.5,Iris-virginica,2.41
6.5,3.2,5.1,2.0,Iris-virginica,2.23
6.4,2.7,5.3,1.9,Iris-virginica,1.38
6.8,3.0,5.5,2.1,Iris-virginica,1.81
5.7,2.5,5.0,2.0,Iris-virginica,1.39
5.8,2.8,5.1,2.4,Iris-virginica,2.05
